# SentenceBreakProperty-17.0.0.txt
# Date: 2025-06-30, 06:20:48 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/

# ================================================

# Property:	Sentence_Break

#  All code points not explicitly listed for Sentence_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

0460          ; Upper # L&       CYRILLIC CAPITAL LETTER OMEGA
0462          ; Upper # L&       CYRILLIC CAPITAL LETTER YAT
0464          ; Upper # L&       CYRILLIC CAPITAL LETTER IOTIFIED E
0466          ; Upper # L&       CYRILLIC CAPITAL LETTER LITTLE YUS
0468          ; Upper # L&       CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
046A          ; Upper # L&       CYRILLIC CAPITAL LETTER BIG YUS
046C          ; Upper # L&       CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
046E          ; Upper # L&       CYRILLIC CAPITAL LETTER KSI
0470          ; Upper # L&       CYRILLIC CAPITAL LETTER PSI
0472          ; Upper # L&       CYRILLIC CAPITAL LETTER FITA
0474          ; Upper # L&       CYRILLIC CAPITAL LETTER IZHITSA
0476          ; Upper # L&       CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0478          ; Upper # L&       CYRILLIC CAPITAL LETTER UK
047A          ; Upper # L&       CYRILLIC CAPITAL LETTER ROUND OMEGA
047C          ; Upper # L&       CYRILLIC CAPITAL LETTER OMEGA WITH TITLO
047E          ; Upper # L&       CYRILLIC CAPITAL LETTER OT
0480          ; Upper # L&       CYRILLIC CAPITAL LETTER KOPPA
048A          ; Upper # L&       CYRILLIC CAPITAL LETTER SHORT I WITH TAIL
048C          ; Upper # L&       CYRILLIC CAPITAL LETTER SEMISOFT SIGN
048E          ; Upper # L&       CYRILLIC CAPITAL LETTER ER WITH TICK
0490          ; Upper # L&       CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0492          ; Upper # L&       CYRILLIC CAPITAL LETTER GHE WITH STROKE
0494          ; Upper # L&       CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK
0496          ; Upper # L&       CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
0498          ; Upper # L&       CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
049A          ; Upper # L&       CYRILLIC CAPITAL LETTER KA WITH DESCENDER
049C          ; Upper # L&       CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE
049E          ; Upper # L&       CYRILLIC CAPITAL LETTER KA WITH STROKE
04A0          ; Upper # L&       CYRILLIC CAPITAL LETTER BASHKIR KA
04A2          ; Upper # L&       CYRILLIC CAPITAL LETTER EN WITH DESCENDER
04A4          ; Upper # L&       CYRILLIC CAPITAL LIGATURE EN GHE
04A6          ; Upper # L&       CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK
04A8          ; Upper # L&       CYRILLIC CAPITAL LETTER ABKHASIAN HA
04AA          ; Upper # L&       CYRILLIC CAPITAL LETTER ES WITH DESCENDER
04AC          ; Upper # L&       CYRILLIC CAPITAL LETTER TE WITH DESCENDER
04AE          ; Upper # L&       CYRILLIC CAPITAL LETTER STRAIGHT U
04B0          ; Upper # L&       CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE
04B2          ; Upper # L&       CYRILLIC CAPITAL LETTER HA WITH DESCENDER
04B4          ; Upper # L&       CYRILLIC CAPITAL LIGATURE TE TSE
04B6          ; Upper # L&       CYRILLIC CAPITAL LETTER CHE WITH DESCENDER
04B8          ; Upper # L&       CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE
04BA          ; Upper # L&       CYRILLIC CAPITAL LETTER SHHA
04BC          ; Upper # L&       CYRILLIC CAPITAL LETTER ABKHASIAN CHE
04BE          ; Upper # L&       CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER
04C0..04C1    ; Upper # L&   [2] CYRILLIC LETTER PALOCHKA..CYRILLIC CAPITAL LETTER ZHE WITH BREVE
04C3          ; Upper # L&       CYRILLIC CAPITAL LETTER KA WITH HOOK
04C5          ; Upper # L&       CYRILLIC CAPITAL LETTER EL WITH TAIL
04C7          ; Upper # L&       CYRILLIC CAPITAL LETTER EN WITH HOOK
04C9          ; Upper # L&       CYRILLIC CAPITAL LETTER EN WITH TAIL
04CB          ; Upper # L&       CYRILLIC CAPITAL LETTER KHAKASSIAN CHE
04CD          ; Upper # L&       CYRILLIC CAPITAL LETTER EM WITH TAIL
04D0          ; Upper # L&       CYRILLIC CAPITAL LETTER A WITH BREVE
04D2          ; Upper # L&       CYRILLIC CAPITAL LETTER A WITH DIAERESIS
04D4          ; Upper # L&       CYRILLIC CAPITAL LIGATURE A IE
04D6          ; Upper # L&       CYRILLIC CAPITAL LETTER IE WITH BREVE
04D8          ; Upper # L&       CYRILLIC CAPITAL LETTER SCHWA
04DA          ; Upper # L&       CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS
04DC          ; Upper # L&       CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS
04DE          ; Upper # L&       CYRILLIC CAPITAL LETTER ZE WITH DIAERESIS
04E0          ; Upper # L&       CYRILLIC CAPITAL LETTER ABKHASIAN DZE
04E2          ; Upper # L&       CYRILLIC CAPITAL LETTER I WITH MACRON
04E4          ; Upper # L&       CYRILLIC CAPITAL LETTER I WITH DIAERESIS
04E6          ; Upper # L&       CYRILLIC CAPITAL LETTER O WITH DIAERESIS
04E8          ; Upper # L&       CYRILLIC CAPITAL LETTER BARRED O
04EA          ; Upper # L&       CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS
04EC          ; Upper # L&       CYRILLIC CAPITAL LETTER E WITH DIAERESIS
04EE          ; Upper # L&       CYRILLIC CAPITAL LETTER U WITH MACRON
04F0          ; Upper # L&       CYRILLIC CAPITAL LETTER U WITH DIAERESIS
04F2          ; Upper # L&       CYRILLIC CAPITAL LETTER U WITH DOUBLE ACUTE
04F4          ; Upper # L&       CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS
04F6          ; Upper # L&       CYRILLIC CAPITAL LETTER GHE WITH DESCENDER
04F8          ; Upper # L&       CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS
04FA          ; Upper # L&       CYRILLIC CAPITAL LETTER GHE WITH STROKE AND HOOK
04FC          ; Upper # L&       CYRILLIC CAPITAL LETTER HA WITH HOOK
04FE          ; Upper # L&       CYRILLIC CAPITAL LETTER HA WITH STROKE
0500          ; Upper # L&       CYRILLIC CAPITAL LETTER KOMI DE
0502          ; Upper # L&       CYRILLIC CAPITAL LETTER KOMI DJE
0504          ; Upper # L&       CYRILLIC CAPITAL LETTER KOMI ZJE
0506          ; Upper # L&       CYRILLIC CAPITAL LETTER KOMI DZJE
0508          ; Upper # L&       CYRILLIC CAPITAL LETTER KOMI LJE
050A          ; Upper # L&       CYRILLIC CAPITAL LETTER KOMI NJE
050C          ; Upper # L&       CYRILLIC CAPITAL LETTER KOMI SJE
050E          ; Upper # L&       CYRILLIC CAPITAL LETTER KOMI TJE
0510          ; Upper # L&       CYRILLIC CAPITAL LETTER REVERSED ZE
0512          ; Upper # L&       CYRILLIC CAPITAL LETTER EL WITH HOOK
0514          ; Upper # L&       CYRILLIC CAPITAL LETTER LHA
0516          ; Upper # L&       CYRILLIC CAPITAL LETTER RHA
0518          ; Upper # L&       CYRILLIC CAPITAL LETTER YAE
051A          ; Upper # L&       CYRILLIC CAPITAL LETTER QA
051C          ; Upper # L&       CYRILLIC CAPITAL LETTER WE
051E          ; Upper # L&       CYRILLIC CAPITAL LETTER ALEUT KA
0520          ; Upper # L&       CYRILLIC CAPITAL LETTER EL WITH MIDDLE HOOK
0522          ; Upper # L&       CYRILLIC CAPITAL LETTER EN WITH MIDDLE HOOK
0524          ; Upper # L&       CYRILLIC CAPITAL LETTER PE WITH DESCENDER
0526          ; Upper # L&       CYRILLIC CAPITAL LETTER SHHA WITH DESCENDER
0528          ; Upper # L&       CYRILLIC CAPITAL LETTER EN WITH LEFT HOOK
052A          ; Upper # L&       CYRILLIC CAPITAL LETTER DZZHE
052C          ; Upper # L&       CYRILLIC CAPITAL LETTER DCHE
052E          ; Upper # L&       CYRILLIC CAPITAL LETTER EL WITH DESCENDER
0531..0556    ; Upper # L&  [38] ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
10A0..10C5    ; Upper # L&  [38] GEORGIAN CAPITAL LETTER AN..GEORGIAN CAPITAL LETTER HOE
10C7          ; Upper # L&       GEORGIAN CAPITAL LETTER YN
10CD          ; Upper # L&       GEORGIAN CAPITAL LETTER AEN
13A0..13F5    ; Upper # L&  [86] CHEROKEE LETTER A..CHEROKEE LETTER MV
1C89          ; Upper # L&       CYRILLIC CAPITAL LETTER TJE
1E00          ; Upper # L&       LATIN CAPITAL LETTER A WITH RING BELOW
1E02          ; Upper # L&       LATIN CAPITAL LETTER B WITH DOT ABOVE
1E04          ; Upper # L&       LATIN CAPITAL LETTER B WITH DOT BELOW
1E06          ; Upper # L&       LATIN CAPITAL LETTER B WITH LINE BELOW
1E08          ; Upper # L&       LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE
1E0A          ; Upper # L&       LATIN CAPITAL LETTER D WITH DOT ABOVE
1E0C          ; Upper # L&       LATIN CAPITAL LETTER D WITH DOT BELOW
1E0E          ; Upper # L&       LATIN CAPITAL LETTER D WITH LINE BELOW
1E10          ; Upper # L&       LATIN CAPITAL LETTER D WITH CEDILLA
1E12          ; Upper # L&       LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
1E14          ; Upper # L&       LATIN CAPITAL LETTER E WITH MACRON AND GRAVE
1E16          ; Upper # L&       LATIN CAPITAL LETTER E WITH MACRON AND ACUTE
1E18          ; Upper # L&       LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
1E1A          ; Upper # L&       LATIN CAPITAL LETTER E WITH TILDE BELOW
1E1C          ; Upper # L&       LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE
1E1E          ; Upper # L&       LATIN CAPITAL LETTER F WITH DOT ABOVE
1E20          ; Upper # L&       LATIN CAPITAL LETTER G WITH MACRON
1E22          ; Upper # L&       LATIN CAPITAL LETTER H WITH DOT ABOVE
1E24          ; Upper # L&       LATIN CAPITAL LETTER H WITH DOT BELOW
1E26          ; Upper # L&       LATIN CAPITAL LETTER H WITH DIAERESIS
1E28          ; Upper # L&       LATIN CAPITAL LETTER H WITH CEDILLA
1E2A          ; Upper # L&       LATIN CAPITAL LETTER H WITH BREVE BELOW
1E2C          ; Upper # L&       LATIN CAPITAL LETTER I WITH TILDE BELOW
1E2E          ; Upper # L&       LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE
1E30          ; Upper # L&       LATIN CAPITAL LETTER K WITH ACUTE
1E32          ; Upper # L&       LATIN CAPITAL LETTER K WITH DOT BELOW
1E34          ; Upper # L&       LATIN CAPITAL LETTER K WITH LINE BELOW
1E36          ; Upper # L&       LATIN CAPITAL LETTER L WITH DOT BELOW
1E38          ; Upper # L&       LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON
1E3A          ; Upper # L&       LATIN CAPITAL LETTER L WITH LINE BELOW
1E3C          ; Upper # L&       LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
1E3E          ; Upper # L&       LATIN CAPITAL LETTER M WITH ACUTE
1E40          ; Upper # L&       LATIN CAPITAL LETTER M WITH DOT ABOVE
1E42          ; Upper # L&       LATIN CAPITAL LETTER M WITH DOT BELOW
1E44          ; Upper # L&       LATIN CAPITAL LETTER N WITH DOT ABOVE
1E46          ; Upper # L&       LATIN CAPITAL LETTER N WITH DOT BELOW
1E48          ; Upper # L&       LATIN CAPITAL LETTER N WITH LINE BELOW
1E4A          ; Upper # L&       LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
1E4C          ; Upper # L&       LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
1E4E          ; Upper # L&       LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS
1E50          ; Upper # L&       LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
1E52          ; Upper # L&       LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
1E54          ; Upper # L&       LATIN CAPITAL LETTER P WITH ACUTE
1E56          ; Upper # L&       LATIN CAPITAL LETTER P WITH DOT ABOVE
1E58          ; Upper # L&       LATIN CAPITAL LETTER R WITH DOT ABOVE
1E5A          ; Upper # L&       LATIN CAPITAL LETTER R WITH DOT BELOW
1E5C          ; Upper # L&       LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
1E5E          ; Upper # L&       LATIN CAPITAL LETTER R WITH LINE BELOW
1E60          ; Upper # L&       LATIN CAPITAL LETTER S WITH DOT ABOVE
1E62          ; Upper # L&       LATIN CAPITAL LETTER S WITH DOT BELOW
1E64          ; Upper # L&       LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE
1E66          ; Upper # L&       LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE
1E68          ; Upper # L&       LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
1E6A          ; Upper # L&       LATIN CAPITAL LETTER T WITH DOT ABOVE
1E6C          ; Upper # L&       LATIN CAPITAL LETTER T WITH DOT BELOW
1E6E          ; Upper # L&       LATIN CAPITAL LETTER T WITH LINE BELOW
1E70          ; Upper # L&       LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
1E72          ; Upper # L&       LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
1E74          ; Upper # L&       LATIN CAPITAL LETTER U WITH TILDE BELOW
1E76          ; Upper # L&       LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
1E78          ; Upper # L&       LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
1E7A          ; Upper # L&       LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS
1E7C          ; Upper # L&       LATIN CAPITAL LETTER V WITH TILDE
1E7E          ; Upper # L&       LATIN CAPITAL LETTER V WITH DOT BELOW
1E80          ; Upper # L&       LATIN CAPITAL LETTER W WITH GRAVE
1E82          ; Upper # L&       LATIN CAPITAL LETTER W WITH ACUTE
1E84          ; Upper # L&       LATIN CAPITAL LETTER W WITH DIAERESIS
1E86          ; Upper # L&       LATIN CAPITAL LETTER W WITH DOT ABOVE
1E88          ; Upper # L&       LATIN CAPITAL LETTER W WITH DOT BELOW
1E8A          ; Upper # L&       LATIN CAPITAL LETTER X WITH DOT ABOVE
1E8C          ; Upper # L&       LATIN CAPITAL LETTER X WITH DIAERESIS
1E8E          ; Upper # L&       LATIN CAPITAL LETTER Y WITH DOT ABOVE
1E90          ; Upper # L&       LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
1E92          ; Upper # L&       LATIN CAPITAL LETTER Z WITH DOT BELOW
1E94          ; Upper # L&       LATIN CAPITAL LETTER Z WITH LINE BELOW
1E9E          ; Upper # L&       LATIN CAPITAL LETTER SHARP S
1EA0          ; Upper # L&       LATIN CAPITAL LETTER A WITH DOT BELOW
1EA2          ; Upper # L&       LATIN CAPITAL LETTER A WITH HOOK ABOVE
1EA4          ; Upper # L&       LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
1EA6          ; Upper # L&       LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
1EA8          ; Upper # L&       LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
1EAA          ; Upper # L&       LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
1EAC          ; Upper # L&       LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
1EAE          ; Upper # L&       LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
1EB0          ; Upper # L&       LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
1EB2          ; Upper # L&       LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
1EB4          ; Upper # L&       LATIN CAPITAL LETTER A WITH BREVE AND TILDE
1EB6          ; Upper # L&       LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
1EB8          ; Upper # L&       LATIN CAPITAL LETTER E WITH DOT BELOW
1EBA          ; Upper # L&       LATIN CAPITAL LETTER E WITH HOOK ABOVE
1EBC          ; Upper # L&       LATIN CAPITAL LETTER E WITH TILDE
1EBE          ; Upper # L&       LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
1EC0          ; Upper # L&       LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
1EC2          ; Upper # L&       LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
1EC4          ; Upper # L&       LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
1EC6          ; Upper # L&       LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
1EC8          ; Upper # L&       LATIN CAPITAL LETTER I WITH HOOK ABOVE
1ECA          ; Upper # L&       LATIN CAPITAL LETTER I WITH DOT BELOW
1ECC          ; Upper # L&       LATIN CAPITAL LETTER O WITH DOT BELOW
1ECE          ; Upper # L&       LATIN CAPITAL LETTER O WITH HOOK ABOVE
1ED0          ; Upper # L&       LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
1ED2          ; Upper # L&       LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
1ED4          ; Upper # L&       LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
1ED6          ; Upper # L&       LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
1ED8          ; Upper # L&       LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
1EDA          ; Upper # L&       LATIN CAPITAL LETTER O WITH HORN AND ACUTE
1EDC          ; Upper # L&       LATIN CAPITAL LETTER O WITH HORN AND GRAVE
1EDE          ; Upper # L&       LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
1EE0          ; Upper # L&       LATIN CAPITAL LETTER O WITH HORN AND TILDE
1EE2          ; Upper # L&       LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
1EE4          ; Upper # L&       LATIN CAPITAL LETTER U WITH DOT BELOW
1EE6          ; Upper # L&       LATIN CAPITAL LETTER U WITH HOOK ABOVE
1EE8          ; Upper # L&       LATIN CAPITAL LETTER U WITH HORN AND ACUTE
1EEA          ; Upper # L&       LATIN CAPITAL LETTER U WITH HORN AND GRAVE
1EEC          ; Upper # L&       LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
1EEE          ; Upper # L&       LATIN CAPITAL LETTER U WITH HORN AND TILDE
1EF0          ; Upper # L&       LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
1EF2          ; Upper # L&       LATIN CAPITAL LETTER Y WITH GRAVE
1EF4          ; Upper # L&       LATIN CAPITAL LETTER Y WITH DOT BELOW
1EF6          ; Upper # L&       LATIN CAPITAL LETTER Y WITH HOOK ABOVE
1EF8          ; Upper # L&       LATIN CAPITAL LETTER Y WITH TILDE
1EFA          ; Upper # L&       LATIN CAPITAL LETTER MIDDLE-WELSH LL
1EFC          ; Upper # L&       LATIN CAPITAL LETTER MIDDLE-WELSH V
1EFE          ; Upper # L&       LATIN CAPITAL LETTER Y WITH LOOP
1F08..1F0F    ; Upper # L&   [8] GREEK CAPITAL LETTER ALPHA WITH PSILI..GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI
1F18..1F1D    ; Upper # L&   [6] GREEK CAPITAL LETTER EPSILON WITH PSILI..GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
1F28..1F2F    ; Upper # L&   [8] GREEK CAPITAL LETTER ETA WITH PSILI..GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI
1F38..1F3F    ; Upper # L&   [8] GREEK CAPITAL LETTER IOTA WITH PSILI..GREEK CAPITAL LETTER IOTA WITH DASIA AND PERISPOMENI
1F48..1F4D    ; Upper # L&   [6] GREEK CAPITAL LETTER OMICRON WITH PSILI..GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
1F59          ; Upper # L&       GREEK CAPITAL LETTER UPSILON WITH DASIA
1F5B          ; Upper # L&       GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
1F5D          ; Upper # L&       GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
1F5F          ; Upper # L&       GREEK CAPITAL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F68..1F6F    ; Upper # L&   [8] GREEK CAPITAL LETTER OMEGA WITH PSILI..GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI
1F88..1F8F    ; Upper # L&   [8] GREEK CAPITAL LETTER ALPHA WITH PSILI AND PROSGEGRAMMENI..GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1F98..1F9F    ; Upper # L&   [8] GREEK CAPITAL LETTER ETA WITH PSILI AND PROSGEGRAMMENI..GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1FA8..1FAF    ; Upper # L&   [8] GREEK CAPITAL LETTER OMEGA WITH PSILI AND PROSGEGRAMMENI..GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1FB8..1FBC    ; Upper # L&   [5] GREEK CAPITAL LETTER ALPHA WITH VRACHY..GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI
1FC8..1FCC    ; Upper # L&   [5] GREEK CAPITAL LETTER EPSILON WITH VARIA..GREEK CAPITAL LETTER ETA WITH PROSGEGRAMMENI
1FD8..1FDB    ; Upper # L&   [4] GREEK CAPITAL LETTER IOTA WITH VRACHY..GREEK CAPITAL LETTER IOTA WITH OXIA
1FE8..1FEC    ; Upper # L&   [5] GREEK CAPITAL LETTER UPSILON WITH VRACHY..GREEK CAPITAL LETTER RHO WITH DASIA
1FF8..1FFC    ; Upper # L&   [5] GREEK CAPITAL LETTER OMICRON WITH VARIA..GREEK CAPITAL LETTER OMEGA WITH PROSGEGRAMMENI
2102          ; Upper # L&       DOUBLE-STRUCK CAPITAL C
2107          ; Upper # L&       EULER CONSTANT
210B..210D    ; Upper # L&   [3] SCRIPT CAPITAL H..DOUBLE-STRUCK CAPITAL H
2110..2112    ; Upper # L&   [3] SCRIPT CAPITAL I..SCRIPT CAPITAL L
2115          ; Upper # L&       DOUBLE-STRUCK CAPITAL N
2119..211D    ; Upper # L&   [5] DOUBLE-STRUCK CAPITAL P..DOUBLE-STRUCK CAPITAL R
2124          ; Upper # L&       DOUBLE-STRUCK CAPITAL Z
2126          ; Upper # L&       OHM SIGN
2128          ; Upper # L&       BLACK-LETTER CAPITAL Z
212A..212D    ; Upper # L&   [4] KELVIN SIGN..BLACK-LETTER CAPITAL C
2130..2133    ; Upper # L&   [4] SCRIPT CAPITAL E..SCRIPT CAPITAL M
213E..213F    ; Upper # L&   [2] DOUBLE-STRUCK CAPITAL GAMMA..DOUBLE-STRUCK CAPITAL PI
2145          ; Upper # L&       DOUBLE-STRUCK ITALIC CAPITAL D
2160..216F    ; Upper # Nl  [16] ROMAN NUMERAL ONE..ROMAN NUMERAL ONE THOUSAND
2183          ; Upper # L&       ROMAN NUMERAL REVERSED ONE HUNDRED
24B6..24CF    ; Upper # So  [26] CIRCLED LATIN CAPITAL LETTER A..CIRCLED LATIN CAPITAL LETTER Z
2C00..2C2F    ; Upper # L&  [48] GLAGOLITIC CAPITAL LETTER AZU..GLAGOLITIC CAPITAL LETTER CAUDATE CHRIVI
2C60          ; Upper # L&       LATIN CAPITAL LETTER L WITH DOUBLE BAR
2C62..2C64    ; Upper # L&   [3] LATIN CAPITAL LETTER L WITH MIDDLE TILDE..LATIN CAPITAL LETTER R WITH TAIL
2C67          ; Upper # L&       LATIN CAPITAL LETTER H WITH DESCENDER
2C69          ; Upper # L&       LATIN CAPITAL LETTER K WITH DESCENDER
2C6B          ; Upper # L&       LATIN CAPITAL LETTER Z WITH DESCENDER
2C6D..2C70    ; Upper # L&   [4] LATIN CAPITAL LETTER ALPHA..LATIN CAPITAL LETTER TURNED ALPHA
2C72          ; Upper # L&       LATIN CAPITAL LETTER W WITH HOOK
2C75          ; Upper # L&       LATIN CAPITAL LETTER HALF H
2C7E..2C80    ; Upper # L&   [3] LATIN CAPITAL LETTER S WITH SWASH TAIL..COPTIC CAPITAL LETTER ALFA
2C82          ; Upper # L&       COPTIC CAPITAL LETTER VIDA
2C84          ; Upper # L&       COPTIC CAPITAL LETTER GAMMA
2C86          ; Upper # L&       COPTIC CAPITAL LETTER DALDA
2C88          ; Upper # L&       COPTIC CAPITAL LETTER EIE
2C8A          ; Upper # L&       COPTIC CAPITAL LETTER SOU
2C8C          ; Upper # L&       COPTIC CAPITAL LETTER ZATA
2C8E          ; Upper # L&       COPTIC CAPITAL LETTER HATE
2C90          ; Upper # L&       COPTIC CAPITAL LETTER THETHE
2C92          ; Upper # L&       COPTIC CAPITAL LETTER IAUDA
2C94          ; Upper # L&       COPTIC CAPITAL LETTER KAPA
2C96          ; Upper # L&       COPTIC CAPITAL LETTER LAULA
2C98          ; Upper # L&       COPTIC CAPITAL LETTER MI
2C9A          ; Upper # L&       COPTIC CAPITAL LETTER NI
2C9C          ; Upper # L&       COPTIC CAPITAL LETTER KSI
2C9E          ; Upper # L&       COPTIC CAPITAL LETTER O
2CA0          ; Upper # L&       COPTIC CAPITAL LETTER PI
2CA2          ; Upper # L&       COPTIC CAPITAL LETTER RO
2CA4          ; Upper # L&       COPTIC CAPITAL LETTER SIMA
2CA6          ; Upper # L&       COPTIC CAPITAL LETTER TAU
2CA8          ; Upper # L&       COPTIC CAPITAL LETTER UA
2CAA          ; Upper # L&       COPTIC CAPITAL LETTER FI
2CAC          ; Upper # L&       COPTIC CAPITAL LETTER KHI
2CAE          ; Upper # L&       COPTIC CAPITAL LETTER PSI
2CB0          ; Upper # L&       COPTIC CAPITAL LETTER OOU
2CB2          ; Upper # L&       COPTIC CAPITAL LETTER DIALECT-P ALEF
2CB4          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC AIN
2CB6          ; Upper # L&       COPTIC CAPITAL LETTER CRYPTOGRAMMIC EIE
2CB8          ; Upper # L&       COPTIC CAPITAL LETTER DIALECT-P KAPA
2CBA          ; Upper # L&       COPTIC CAPITAL LETTER DIALECT-P NI
2CBC          ; Upper # L&       COPTIC CAPITAL LETTER CRYPTOGRAMMIC NI
2CBE          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC OOU
2CC0          ; Upper # L&       COPTIC CAPITAL LETTER SAMPI
2CC2          ; Upper # L&       COPTIC CAPITAL LETTER CROSSED SHEI
2CC4          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC SHEI
2CC6          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC ESH
2CC8          ; Upper # L&       COPTIC CAPITAL LETTER AKHMIMIC KHEI
2CCA          ; Upper # L&       COPTIC CAPITAL LETTER DIALECT-P HORI
2CCC          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC HORI
2CCE          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC HA
2CD0          ; Upper # L&       COPTIC CAPITAL LETTER L-SHAPED HA
2CD2          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC HEI
2CD4          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC HAT
2CD6          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC GANGIA
2CD8          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC DJA
